name,state,latitude,longitude,population
"New York City","NY","40.71427","-74.00597","8804190"
"Los Angeles","CA","34.05223","-118.24368","3820914"
"Brooklyn","NY","40.6501","-73.94958","2736074"
"Chicago","IL","41.85003","-87.65005","2664452"
"Queens","NY","40.68149","-73.83652","2316841"
"Houston","TX","29.76328","-95.36327","2314157"
"Phoenix","AZ","33.44838","-112.07404","1650070"
"Philadelphia","PA","39.95238","-75.16362","1573916"
"San Antonio","TX","29.42412","-98.49363","1526656"
"Manhattan","NY","40.78343","-73.96625","1487536"
"San Diego","CA","32.71571","-117.16472","1404452"
"The Bronx","NY","40.84985","-73.86641","1385108"
"Dallas","TX","32.78306","-96.80667","1326087"
"Jacksonville","FL","30.33218","-81.65565","1009833"
"Fort Worth","TX","32.72541","-97.32085","1008106"
"San Jose","CA","37.33939","-121.89496","997368"
"Austin","TX","30.26715","-97.74306","974447"
"Columbus","OH","39.96118","-82.99879","913175"
"Charlotte","NC","35.22709","-80.84313","911311"
"Indianapolis","IN","39.76838","-86.15804","887642"
"San Francisco","CA","37.77493","-122.41942","827526"
"Seattle","WA","47.60621","-122.33207","780995"
"Denver","CO","39.73915","-104.9847","729019"
"Washington","DC","38.89511","-77.03637","689545"
"Nashville","TN","36.16589","-86.78444","689447"
"Oklahoma City","OK","35.46756","-97.51643","681054"
"El Paso","TX","31.75872","-106.48693","678815"
"Boston","MA","42.35843","-71.05977","653833"
"Portland","OR","45.52345","-122.67621","652503"
"Detroit","MI","42.33143","-83.04575","645705"
"Las Vegas","NV","36.17497","-115.13722","641903"
"New South Memphis","TN","35.08676","-90.05676","641608"
"Memphis","TN","35.14953","-90.04898","633104"
"Louisville","KY","38.25424","-85.75941","624444"
"Baltimore","MD","39.29038","-76.61219","585708"
"South Boston","MA","42.33343","-71.04949","571281"
"Albuquerque","NM","35.08449","-106.65114","564559"
"Milwaukee","WI","43.0389","-87.90647","563531"
"Tucson","AZ","32.22174","-110.92648","542629"
"Fresno","CA","36.74773","-119.77237","542107"
"Sacramento","CA","38.58157","-121.4944","524943"
"Atlanta","GA","33.749","-84.38798","510823"
"Miami","FL","25.77427","-80.19366","487014"
"Omaha","NE","41.25626","-95.94043","486051"
"Raleigh","NC","35.7721","-78.63861","482295"
"Kansas City","MO","39.09973","-94.57857","475378"
"Long Beach","CA","33.76696","-118.18923","474140"
"Mesa","AZ","33.42227","-111.82264","471825"
"Staten Island","NY","40.56233","-74.13986","468730"
"Colorado Springs","CO","38.83388","-104.82136","456568"
"Virginia Beach","VA","36.85293","-75.97799","454808"
"Oakland","CA","37.80437","-122.2708","419267"
"Tampa","FL","27.94752","-82.45843","414547"
"Tulsa","OK","36.15398","-95.99277","413066"
"Minneapolis","MN","44.97997","-93.26384","410939"
"Wichita","KS","37.69224","-97.33754","396119"
"Arlington","TX","32.73569","-97.10807","388125"
"Bakersfield","CA","35.37329","-119.01871","373640"
"Cleveland","OH","41.4995","-81.69541","365379"
"New Orleans","LA","29.95465","-90.07507","362701"
"Aurora","CO","39.72943","-104.83192","359407"
"Honolulu","HI","21.30694","-157.85833","350964"
"Anaheim","CA","33.83529","-117.9145","350742"
"West Raleigh","NC","35.78682","-78.66389","338759"
"Orlando","FL","28.53834","-81.37924","334854"
"Lexington","KY","37.98869","-84.47772","320347"
"Riverside","CA","33.95335","-117.39616","317261"
"Corpus Christi","TX","27.80058","-97.39638","316239"
"Lexington-Fayette","KY","38.0498","-84.45855","314488"
"Cincinnati","OH","39.12711","-84.51439","311097"
"Santa Ana","CA","33.74557","-117.86783","310227"
"Stockton","CA","37.9577","-121.29078","305658"
"Pittsburgh","PA","40.44062","-79.99589","304391"
"Saint Paul","MN","44.94441","-93.09327","303176"
"Lincoln","NE","40.8","-96.66696","294757"
"Anchorage","AK","61.21806","-149.90028","289600"
"Meads","KY","38.41258","-82.70905","288649"
"Henderson","NV","36.0397","-114.98194","285667"
"Greensboro","NC","36.07264","-79.79198","285342"
"Plano","TX","33.01984","-96.69889","283558"
"Newark","NJ","40.73566","-74.17237","281944"
"Madison","WI","43.07305","-89.40123","280305"
"St. Louis","MO","38.62727","-90.19789","279695"
"Chula Vista","CA","32.64005","-117.0842","265757"
"Toledo","OH","41.66394","-83.55521","265638"
"Jersey City","NJ","40.72816","-74.07764","264290"
"Reno","NV","39.52963","-119.8138","264165"
"Chandler","AZ","33.30616","-111.84125","260828"
"Fort Wayne","IN","41.1306","-85.12886","260326"
"Buffalo","NY","42.88645","-78.87837","258071"
"Durham","NC","35.99403","-78.89862","257636"
"St. Petersburg","FL","27.77086","-82.67927","257083"
"Irvine","CA","33.66946","-117.82311","256927"
"Laredo","TX","27.50641","-99.50754","256153"
"Lubbock","TX","33.57786","-101.85517","249042"
"Gilbert","AZ","33.35283","-111.78903","247542"
"Tri-Cities","WA","46.2454","-119.19617","244036"
"Winston-Salem","NC","36.09986","-80.24422","241218"
"Glendale","AZ","33.53865","-112.18599","240126"
"Norfolk","VA","36.84681","-76.28522","238005"
